,계약년,주소,단지명,전용면적(㎡),면적라벨,거래금액(만원),m2당금액(만원)
88,2012,경기도 대화동 2228,장성마을(동부),67,2.0,27262,404
89,2012,경기도 대화동 2228,장성마을(동부),84,3.0,35810,420
90,2012,경기도 대화동 2232,장성마을(대명4),130,3.0,40477,309
91,2012,경기도 대화동 2234,장성마을(3),101,3.0,55000,540
92,2012,경기도 대화동 2234,장성마을(3),133,3.0,57075,426
93,2012,경기도 대화동 2234,장성마을(3),148,3.0,50000,337
94,2012,경기도 대화동 2236,장성마을(대명2),59,1.0,20470,346
95,2012,경기도 대화동 2236,장성마을(대명2),61,2.0,21380,346
96,2012,경기도 대화동 2570,대화마을(5단지),84,3.0,26802,317
97,2012,경기도 대화동 2570,휴먼빌(6단지),84,3.0,26058,308
98,2012,경기도 대화동 2573,대화마을동문(3단지),84,3.0,26925,318
99,2012,경기도 대화동 2579,양우파크타운,84,3.0,27107,321
100,2012,경기도 대화동 2580,킨텍스아이파크,84,3.0,31183,366
101,2012,경기도 대화동 2580,킨텍스아이파크,119,3.0,55250,461
102,2012,경기도 덕은동 258-1,윤창,49,1.0,20000,404
103,2012,경기도 덕이동 1037,동문2,72,2.0,18000,249
104,2012,경기도 덕이동 1037,동문2,84,3.0,17900,211
105,2012,경기도 덕이동 1076,중앙하이츠빌,84,3.0,18900,222
106,2012,경기도 덕이동 1076,중앙하이츠빌,123,3.0,26871,216
107,2012,경기도 덕이동 1106,덕이1동문,72,2.0,16940,234
108,2012,경기도 덕이동 1106,덕이1동문,84,3.0,18740,221
109,2012,경기도 덕이동 1521,태영,84,3.0,22683,266
110,2012,경기도 덕이동 1524,하이파크시티일산아이파크1단지,84,3.0,41920,492
111,2012,경기도 덕이동 1524,하이파크시티일산아이파크1단지,124,3.0,52871,422
112,2012,경기도 덕이동 1524,하이파크시티일산아이파크1단지,127,3.0,46233,361
113,2012,경기도 덕이동 1524,하이파크시티일산아이파크1단지,146,3.0,53405,364
114,2012,경기도 덕이동 1529,하이파크시티일산파밀리에2단지,84,3.0,35000,414
115,2012,경기도 덕이동 1529,하이파크시티일산파밀리에2단지,121,3.0,57181,470
116,2012,경기도 덕이동 1534,하이파크시티일산파밀리에3단지,121,3.0,68200,561
117,2012,경기도 덕이동 1534,하이파크시티일산파밀리에3단지,129,3.0,61980,477
118,2012,경기도 덕이동 1535,하이파크시티일산파밀리에4단지,84,3.0,42865,507
119,2012,경기도 덕이동 1535,하이파크시티일산파밀리에4단지,101,3.0,40000,392
120,2012,경기도 덕이동 1535,하이파크시티일산파밀리에4단지,121,3.0,64994,534
121,2012,경기도 덕이동 1535,하이파크시티일산파밀리에4단지,173,3.0,94050,541
